Title,Description,Director,Publication_Year,Runtime,Genre
Despicable Me,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",Pierre Coffin,2010,95 min,"Animation, Comedy, Crime"
50/50,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",Jonathan Levine,2011,100 min,"Comedy, Drama, Romance"
Kick-Ass,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",Matthew Vaughn,2010,117 min,"Action, Comedy, Crime"
Celda 211,"The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal.",Daniel Monzón,2009,113 min,"Action, Adventure, Crime"
Moneyball,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,Bennett Miller,2011,133 min,"Biography, Drama, Sport"
La piel que habito,"A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.",Pedro Almodóvar,2011,120 min,"Drama, Horror, Thriller"
Zombieland,"A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.",Ruben Fleischer,2009,88 min,"Adventure, Comedy, Fantasy"
Die Welle,A high school teacher's experiment to demonstrate to his students what life is like under a dictatorship spins horribly out of control when he forms a social unit with a life of its own.,Dennis Gansel,2008,107 min,"Drama, Thriller"
Sherlock Holmes,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,Guy Ritchie,2009,128 min,"Action, Adventure, Mystery"
The Blind Side,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",John Lee Hancock,2009,129 min,"Biography, Drama, Sport"
The Visitor,A college professor travels to New York City to attend a conference and finds a young couple living in his apartment.,Tom McCarthy,2007,104 min,Drama
Seven Pounds,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,Gabriele Muccino,2008,123 min,Drama
Eastern Promises,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.,David Cronenberg,2007,100 min,"Action, Crime, Drama"
Stardust,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",Matthew Vaughn,2007,127 min,"Adventure, Family, Fantasy"
The Secret of Kells,"A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers.",Tomm Moore,2009,71 min,"Animation, Adventure, Family"
Inside Man,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",Spike Lee,2006,129 min,"Crime, Drama, Mystery"
Gone Baby Gone,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",Ben Affleck,2007,114 min,"Crime, Drama, Mystery"
La Vie En Rose,"Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy.",Olivier Dahan,2007,140 min,"Biography, Drama, Music"
Huo Yuan Jia,"A biography of Chinese Martial Arts Master Huo Yuanjia, who is the founder and spiritual guru of the Jin Wu Sports Federation.",Ronny Yu,2006,104 min,"Action, Biography, Drama"
The Illusionist,"In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing.",Neil Burger,2006,110 min,"Drama, Fantasy, Mystery"
Dead Man's Shoes,A disaffected soldier returns to his hometown to get even with the thugs who brutalized his mentally-challenged brother years ago.,Shane Meadows,2004,90 min,"Crime, Drama, Thriller"
Harry Potter and the Half-Blood Prince,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",David Yates,2009,153 min,"Action, Adventure, Family"
300,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,Zack Snyder,2006,117 min,"Action, Drama"
Match Point,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law.",Woody Allen,2005,124 min,"Drama, Romance, Thriller"
Watchmen,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",Zack Snyder,2009,162 min,"Action, Drama, Mystery"
Lord of War,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.,Andrew Niccol,2005,122 min,"Action, Crime, Drama"
Saw,"Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.",James Wan,2004,103 min,"Horror, Mystery, Thriller"
"Synecdoche, New York","A theatre director struggles with his work, and the women in his life, as he creates a life-size replica of New York City inside a warehouse as part of his new play.",Charlie Kaufman,2008,124 min,Drama
Mysterious Skin,"A teenage hustler and a young man obsessed with alien abductions cross paths, together discovering a horrible, liberating truth.",Gregg Araki,2004,105 min,Drama
Jeux d'enfants,"As adults, best friends Julien and Sophie continue the odd game they started as children -- a fearless competition to outdo one another with daring and outrageous stunts. While they often act out to relieve one another's pain, their game might be a way to avoid the fact that they are truly meant for one another.",Yann Samuell,2003,93 min,"Comedy, Drama, Romance"
Un long dimanche de fiançailles,"Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One.",Jean-Pierre Jeunet,2004,133 min,"Drama, Mystery, Romance"
The Station Agent,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss.",Tom McCarthy,2003,89 min,"Comedy, Drama"
