Title,Description,Director,Publication_Year,Runtime,Genre
Batman Begins,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",Christopher Nolan,2005,140 min,"Action, Adventure"
"Swades: We, the People",A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,Ashutosh Gowariker,2004,210 min,Drama
Der Untergang,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",Oliver Hirschbiegel,2004,156 min,"Biography, Drama, History"
Hauru no ugoku shiro,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",Hayao Miyazaki,2004,119 min,"Animation, Adventure, Family"
A Beautiful Mind,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",Ron Howard,2001,135 min,"Biography, Drama"
Hera Pheri,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",Priyadarshan,2000,156 min,"Action, Comedy, Crime"
"Lock, Stock and Two Smoking Barrels","A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.",Guy Ritchie,1998,107 min,"Action, Comedy, Crime"
L.A. Confidential,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",Curtis Hanson,1997,138 min,"Crime, Drama, Mystery"
Eskiya,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",Yavuz Turgul,1996,128 min,"Crime, Drama, Thriller"
Heat,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,Michael Mann,1995,170 min,"Crime, Drama, Thriller"
Casino,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",Martin Scorsese,1995,178 min,"Crime, Drama"
Andaz Apna Apna,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,Rajkumar Santoshi,1994,160 min,"Action, Comedy, Romance"
Unforgiven,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",Clint Eastwood,1992,130 min,"Drama, Western"
Indiana Jones and the Last Crusade,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",Steven Spielberg,1989,127 min,"Action, Adventure"
Dom za vesanje,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.",Emir Kusturica,1988,142 min,"Comedy, Crime, Drama"
Tonari no Totoro,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",Hayao Miyazaki,1988,86 min,"Animation, Family, Fantasy"
Die Hard,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,John McTiernan,1988,132 min,"Action, Thriller"
Ran,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Akira Kurosawa,1985,162 min,"Action, Drama, War"
Raging Bull,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",Martin Scorsese,1980,129 min,"Biography, Drama, Sport"
Stalker,A guide leads two men through an area known as the Zone to find a room that grants wishes.,Andrei Tarkovsky,1979,162 min,"Drama, Sci-Fi"
Höstsonaten,"A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist.",Ingmar Bergman,1978,99 min,"Drama, Music"
The Message,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.,Moustapha Akkad,1976,177 min,"Biography, Drama, History"
Sholay,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",Ramesh Sippy,1975,204 min,"Action, Adventure, Comedy"
Monty Python and the Holy Grail,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",Terry Gilliam,1975,91 min,"Adventure, Comedy, Fantasy"
The Great Escape,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,John Sturges,1963,172 min,"Adventure, Drama, History"
To Kill a Mockingbird,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",Robert Mulligan,1962,129 min,"Crime, Drama"
Yôjinbô,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Akira Kurosawa,1961,110 min,"Action, Drama, Thriller"
Judgment at Nuremberg,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",Stanley Kramer,1961,179 min,"Drama, War"
Some Like It Hot,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Billy Wilder,1959,121 min,"Comedy, Music, Romance"
Smultronstället,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",Ingmar Bergman,1957,91 min,"Drama, Romance"
Det sjunde inseglet,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Ingmar Bergman,1957,96 min,"Drama, Fantasy, History"
Du rififi chez les hommes,"Four men plan a technically perfect crime, but the human element intervenes...",Jules Dassin,1955,118 min,"Crime, Drama, Thriller"
Dial M for Murder,A former tennis player tries to arrange his wife's murder after learning of her affair.,Alfred Hitchcock,1954,105 min,"Crime, Thriller"
Tôkyô monogatari,"An old couple visit their children and grandchildren in the city, but receive little attention.",Yasujirô Ozu,1953,136 min,Drama
Rashômon,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Akira Kurosawa,1950,88 min,"Crime, Drama, Mystery"
All About Eve,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Joseph L. Mankiewicz,1950,138 min,Drama
The Treasure of the Sierra Madre,Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,John Huston,1948,126 min,"Adventure, Drama, Western"
To Be or Not to Be,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",Ernst Lubitsch,1942,99 min,"Comedy, War"
The Gold Rush,A prospector goes to the Klondike in search of gold and finds it and more.,Charles Chaplin,1925,95 min,"Adventure, Comedy, Drama"
Sherlock Jr.,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Buster Keaton,1924,45 min,"Action, Comedy, Romance"
Portrait de la jeune fille en feu,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",Céline Sciamma,2019,122 min,"Drama, Romance"
Pink,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",Aniruddha Roy Chowdhury,2016,136 min,"Drama, Thriller"
Koe no katachi,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",Naoko Yamada,2016,130 min,"Animation, Drama, Family"
Contratiempo,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.,Oriol Paulo,2016,106 min,"Crime, Drama, Mystery"
Ah-ga-ssi,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",Chan-wook Park,2016,145 min,"Drama, Romance, Thriller"
Mommy,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.",Xavier Dolan,2014,139 min,Drama
Haider,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",Vishal Bhardwaj,2014,160 min,"Action, Crime, Drama"
Logan,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",James Mangold,2017,137 min,"Action, Drama, Sci-Fi"
Room,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",Lenny Abrahamson,2015,118 min,"Drama, Thriller"
Relatos salvajes,Six short stories that explore the extremities of human behavior involving people in distress.,Damián Szifron,2014,122 min,"Comedy, Drama, Thriller"
Soul,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",Pete Docter,2020,100 min,"Animation, Adventure, Comedy"
Kis Uykusu,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.,Nuri Bilge Ceylan,2014,196 min,Drama
